m,n,times,F
2,2,8,-0.1569615216018779
2,2,9,0.45664141261364627
2,2,10,-0.3433494315972125
2,2,11,-0.4018457520711971
2,2,12,0.6868510890854932
2,2,13,0.3422691298249399
2,2,14,2.0537862363006485
2,2,15,0.2766901981771948
2,2,16,0.6345248254533781
2,2,17,0.7233894540037369
2,2,18,1.2289371118231402
2,2,19,0.03231123379496745
2,2,20,0.0
