m,n,times,F
7,8,1,0.21870748393772624
7,9,2,2.5225828246994877
7,10,3,2.3125535214708113
7,9,4,0.9147301732277987
7,8,5,0.7017762004782023
7,6,6,3.342175971077366
7,6,7,1.4605661440966018
7,9,8,0.6817526156120205
7,8,9,-1.6188004366688613
7,8,10,0.34773539233960243
7,6,11,1.5492933010556917
7,9,12,0.17101838192032515
7,7,13,0.9341506191231784
7,7,14,1.864603520614298
7,7,15,0.0
7,7,16,1.7036544101759452
7,6,17,0.9564889033697322
7,9,18,0.44165679476821423
7,10,19,2.133208550899232
7,10,20,1.2476137734907755
16,行,目
7,8,1,-0.7796837854635251
7,9,2,1.5661476072933864
7,10,3,1.6264235130141933
7,9,4,-0.9658997324798615
7,8,5,-0.4931811386272142
7,6,6,1.6049505387029004
7,6,7,-0.4451240839763622
7,9,8,-0.45871346815180986
7,8,9,-3.1217149644703412
7,8,10,-1.377158347687054
7,6,11,-0.32458248551728996
7,9,12,-0.6905125382800802
7,7,13,-1.062091553877977
7,7,14,0.7784348014188791
7,7,15,-1.7036544101759452
7,7,16,0.0
7,6,17,-0.5668713776127045
7,9,18,-0.7720578870002854
7,10,19,0.7693961620273263
7,10,20,0.1381562787157355
17,行,目
6,8,1,-0.3565192975443788
6,9,2,1.775299328540906
6,10,3,1.74315853594641
6,9,4,-0.23823776932223284
6,8,5,-0.029165953634337653
6,6,6,2.0092353553678066
6,6,7,0.21193964685673472
6,9,8,-0.014617698237649563
6,8,9,-2.288040295001326
6,8,10,-0.6571543871376245
6,6,11,0.31128639425985916
6,9,12,-0.322852814519589
6,7,13,-0.302870003193411
6,7,14,1.089715410918738
6,7,15,-0.9564889033697322
6,7,16,0.5668713776127045
6,6,17,0.0
6,9,18,-0.27531031200796713
6,10,19,1.179793619203372
6,10,20,0.521300954803542
18,行,目
9,8,1,-0.1334114469782049
9,9,2,2.147818243227049
9,10,3,2.188824368280317
9,9,4,0.14553805712981796
9,8,5,0.23466141468670726
9,6,6,1.9641153823567334
9,6,7,0.4549067782081989
9,9,8,0.24674065409918242
9,8,9,-1.5776730857995724
9,8,10,-0.21899778078022186
9,6,11,0.5305067262819824
9,9,12,-0.13743122340965136
9,7,13,0.09613315610156714
9,7,14,1.336339483108239
9,7,15,-0.44165679476821423
9,7,16,0.7720578870002854
9,6,17,0.27531031200796713
9,9,18,0.0
9,10,19,1.4614516497046508
9,10,20,0.8049928637366056
19,行,目
10,8,1,-1.404711779500335
10,9,2,1.085908914313684
10,10,3,1.3842428256001864
10,9,4,-1.6739047653159214
10,8,5,-1.1566454524980774
10,6,6,0.6238121401928728
10,6,7,-1.0974500849890758
10,9,8,-1.1338830942571343
10,8,9,-3.3890355882893908
10,8,10,-1.95631821963106
10,6,11,-1.0046279798244855
10,9,12,-1.2965020023178244
10,7,13,-1.6188729426895079
10,7,14,0.1650308638148032
10,7,15,-2.133208550899232
10,7,16,-0.7693961620273263
10,6,17,-1.179793619203372
10,9,18,-1.4614516497046508
10,10,19,0.0
10,10,20,-0.5249431437733191
20,行,目
10,8,1,-0.8351580408685136
10,9,2,1.4205836027785812
10,10,3,1.6618253696069263
10,9,4,-0.8226809912028569
10,8,5,-0.5500120329939613
10,6,6,0.9973017220526282
10,6,7,-0.40805015470232114
10,9,8,-0.5408799700485348
10,8,9,-2.3045495163961935
10,8,10,-1.0928938144922877
10,6,11,-0.3362911585639673
10,9,12,-0.7955363186312773
10,7,13,-0.7930623666806391
10,7,14,0.5742256797358304
10,7,15,-1.2476137734907755
10,7,16,-0.1381562787157355
10,6,17,-0.521300954803542
10,9,18,-0.8049928637366056
10,10,19,0.5249431437733191
10,10,20,0.0
